date,price,bedrooms,bathrooms,square_feet,floors,waterfront,view,condition,yr_built,yr_renovated,street,city,statezip,country
02-05-2022,313000,5,1.5,1340,1.5,0,0,3,1955,2005,18810 Densmore Ave N,Shoreline,WA 98133,USA
02-05-2022,2384000,5,2.5,3650,2,0,4,5,1921,0,709 W Blaine St,Seattle,WA 98119,USA
02-05-2022,342000,5,2,1930,1,0,0,4,1966,0,26206-26214 143rd Ave SE,Kent,WA 98042,USA
02-05-2022,420000,5,2.25,2000,1,0,0,4,1963,0,857 170th Pl NE,Bellevue,WA 98008,USA
02-05-2022,550000,8,2.5,1940,1,0,0,4,1976,1992,9105 170th Ave NE,Redmond,WA 98052,USA
02-05-2022,490000,2,1,880,1,0,0,3,1938,1994,522 NE 88th St,Seattle,WA 98115,USA
02-05-2022,335000,2,2,1350,1,0,0,3,1976,0,2616 174th Ave NE,Redmond,WA 98052,USA
02-05-2022,482000,8,2.5,2710,2,0,0,3,1989,0,23762 SE 253rd Pl,Maple Valley,WA 98038,USA
02-05-2022,452500,5,2.5,2430,1,0,0,4,1985,0,46611-46625 SE 129th St,North Bend,WA 98045,USA
02-05-2022,640000,8,2,1520,1.5,0,0,3,1945,2010,6811 55th Ave NE,Seattle,WA 98115,USA
02-05-2022,463000,5,1.75,1710,1,0,0,3,1948,1994,Burke-Gilman Trail,Lake Forest Park,WA 98155,USA
02-05-2022,1400000,8,2.5,2920,1.5,0,0,5,1909,1988,3838-4098 44th Ave NE,Seattle,WA 98105,USA
02-05-2022,588500,5,1.75,2330,1,0,0,3,1980,0,1833 220th Pl NE,Sammamish,WA 98074,USA
02-05-2022,365000,5,1,1090,1,0,0,4,1955,2009,2504 SW Portland Ct,Seattle,WA 98106,USA
02-05-2022,1200000,5,2.75,2910,1.5,0,0,3,1939,1969,3534 46th Ave NE,Seattle,WA 98105,USA
02-05-2022,242500,5,1.5,1200,1,0,0,4,1965,0,14034 SE 201st St,Kent,WA 98042,USA
02-05-2022,419000,5,1.5,1570,1,0,0,4,1956,0,15424 SE 9th St,Bellevue,WA 98007,USA
02-05-2022,367500,8,3,3110,2,0,0,3,1997,0,11224 SE 306th Pl,Auburn,WA 98092,USA
02-05-2022,257950,5,1.75,1370,1,0,0,3,1987,2000,1605 S 245th Pl,Des Moines,WA 98198,USA
02-05-2022,275000,5,1.5,1180,1,0,0,3,1983,2009,12425 415th Ave SE,North Bend,WA 98045,USA
02-05-2022,750000,5,1.75,2240,2,0,0,5,1923,0,3225 NE 92nd St,Seattle,WA 98115,USA
02-05-2022,435000,8,1,1450,1,0,0,4,1954,1979,3922 154th Ave SE,Bellevue,WA 98006,USA
02-05-2022,626000,5,2.25,1750,2.5,0,0,3,2005,0,3140 Franklin Ave E,Seattle,WA 98102,USA
02-05-2022,612500,8,2.5,2730,2,0,0,3,1991,0,10212 NE 156th Pl,Bothell,WA 98011,USA
02-05-2022,495000,8,1.75,1600,1,0,0,3,1959,1989,2021 NE 100th St,Seattle,WA 98125,USA
02-05-2022,285000,5,2.5,2090,1,0,0,4,1987,0,27736 23rd Avenue South,Federal Way,WA 98003,USA
02-05-2022,615000,5,1.75,2360,1,0,0,4,1948,0,8436-8438 41st Ave SW,Seattle,WA 98136,USA
02-05-2022,698000,8,2.25,2200,1.5,0,0,5,1920,0,1036 4th St,Kirkland,WA 98033,USA
02-05-2022,675000,5,2.5,2820,2,0,0,3,1979,2014,23525 SE 32nd Way,Issaquah,WA 98029,USA
02-05-2022,790000,5,2.5,2600,1,0,0,4,1951,1999,3314 NW 75th St,Seattle,WA 98117,USA
02-05-2022,382500,8,1.75,1560,1,0,0,4,1967,0,14104 119th Ave NE,Kirkland,WA 98034,USA
02-05-2022,499950,8,2.5,2860,2,0,0,3,2004,2003,20120 137th Ave NE,Woodinville,WA 98072,USA
02-05-2022,650000,8,2,1820,1.5,0,1,3,1945,2010,7201-7399 55th Ave NE,Seattle,WA 98115,USA
02-05-2022,625000,8,2.5,2820,2,0,0,3,2014,0,17052 4th Ave NE,Shoreline,WA 98155,USA
02-05-2022,400000,8,2.5,3630,1.5,0,0,3,1979,2014,5172-5198 Heather Ave SE,Auburn,WA 98092,USA
02-05-2022,604000,5,2.5,3240,2,0,2,3,1995,0,30822 36th Ct SW,Federal Way,WA 98023,USA
02-05-2022,440000,2,1,800,1,0,0,4,1944,0,4801-4899 6th Ave NW,Seattle,WA 98107,USA
02-05-2022,287200,5,3,1850,1,0,0,4,1992,0,23017 SE 281st Ct,Maple Valley,WA 98038,USA
02-05-2022,403000,5,2,1960,1,0,2,5,1957,0,17825 4th Ave SW,Normandy Park,WA 98166,USA
02-05-2022,750000,5,2.5,2390,1,0,2,4,1955,2009,3628 59th Ave SW,Seattle,WA 98116,USA
02-05-2022,335000,5,2.25,1580,1,0,0,4,1978,2000,4460 332nd Ave SE,Fall City,WA 98024,USA
02-05-2022,260000,8,2,1480,1,0,0,4,1974,0,2019 Aberdeen Pl SE,Renton,WA 98055,USA
02-05-2022,308500,2,1,850,1,0,0,4,1950,1983,121 NE 147th St,Shoreline,WA 98155,USA
02-05-2022,439950,5,2.5,1770,2,0,0,3,1990,2009,4458 51st Ave SW,Seattle,WA 98116,USA
02-05-2022,235000,2,1,1210,1,0,0,2,1949,0,7542 21st Ave SW,Seattle,WA 98106,USA
02-05-2022,315000,5,1,1160,1,0,0,3,1968,1997,15804 198th Pl NE,Woodinville,WA 98077,USA
02-05-2022,437500,5,2.25,1970,2,0,0,4,1977,0,26069 SE 154th St,Issaquah,WA 98027,USA
02-05-2022,407500,5,2.5,1930,2,0,0,3,1996,0,4314 NE 6th Pl,Renton,WA 98059,USA
02-05-2022,445700,5,2.5,1270,3,0,0,3,2001,0,2640 NW 56th St,Seattle,WA 98107,USA
02-05-2022,838000,8,2.5,3310,2,0,0,3,2001,0,15712 NE 136th Pl,Redmond,WA 98052,USA
02-05-2022,630000,8,2.75,2710,2,0,0,3,2000,0,26429 SE 154th Pl,Issaquah,WA 98027,USA
02-05-2022,550000,5,1.75,2910,1.5,0,0,3,1979,2014,3923 229th Pl SE,Sammamish,WA 98075,USA
02-05-2022,805000,5,2,2710,1.5,0,0,4,1929,0,6222 30th Ave NE,Seattle,WA 98115,USA
02-05-2022,284000,5,1.75,1800,1,0,0,3,1968,1997,32418 NE 50th St,Carnation,WA 98014,USA
02-05-2022,470000,5,2.5,2210,1,0,0,3,1976,0,19334 89th Ave NE,Bothell,WA 98011,USA
02-05-2022,430000,8,1.5,1920,1,0,0,4,1954,1979,4071 156th Ave SE,Bellevue,WA 98006,USA
02-05-2022,491500,8,1.75,2190,1,0,2,3,1968,1997,36850 204th Ave SE,Auburn,WA 98092,USA
02-05-2022,785000,5,3.25,3660,2,0,2,3,2006,0,7425 Snowberry Ave SE,Snoqualmie,WA 98065,USA
02-05-2022,385000,5,3.25,1320,2,0,0,3,2008,0,3400 21st Ave W,Seattle,WA 98199,USA
02-05-2022,295000,2,2.5,1630,2,0,0,3,2009,0,5944-6082 Delridge Way SW,Seattle,WA 98106,USA
02-05-2022,555000,8,2.5,3310,2,0,0,3,2012,1912,35229 SE Terrace St,Snoqualmie,WA 98065,USA
02-05-2022,459990,5,2.5,2680,2,0,0,3,2013,1923,13800 453rd Ave SE,North Bend,WA 98045,USA
02-05-2022,625000,8,3.25,2730,1,0,0,3,2007,0,9927 174th Ave SE,Renton,WA 98059,USA
02-05-2022,300000,5,2.5,2540,2,0,0,3,2006,0,29734 215th Terrace SE,Kent,WA 98042,USA
03-05-2022,625000,8,2.75,2920,2,0,0,3,2012,1912,5608 NE 5th Cir,Renton,WA 98059,USA
03-05-2022,553000,2,1,900,1,0,0,3,1944,0,8053 29th Ave NW,Seattle,WA 98117,USA
03-05-2022,379880,5,2.5,1650,1,0,0,4,1986,0,13256 242nd Pl SE,Issaquah,WA 98027,USA
03-05-2022,310000,5,1,1010,1,0,0,4,1973,0,7528 N Fork Rd SE,Snoqualmie,WA 98065,USA
04-05-2022,775000,2,2.5,2680,1,0,0,3,2004,2003,13134 234th Ct NE,Redmond,WA 98053,USA
04-05-2022,365000,5,2.5,2200,1,0,0,5,1988,0,13420 SE 182nd St,Renton,WA 98058,USA
04-05-2022,331950,8,2.5,2530,2,0,2,3,1990,2009,925 48th Ct,Auburn,WA 98092,USA
04-05-2022,783500,5,2.5,2850,2,0,0,3,1980,0,151 Euclid Ave,Seattle,WA 98122,USA
04-05-2022,628000,8,2,2280,1,0,0,3,1900,2005,205-206 Euclid Ave,Seattle,WA 98122,USA
05-05-2022,560000,5,2.5,1900,2,0,0,3,1987,2000,22314 NE 11th Pl,Sammamish,WA 98074,USA
05-05-2022,900000,5,1,1330,1,0,0,3,1928,1954,13615 NE 100th St,Kirkland,WA 98033,USA
05-05-2022,531000,2,3,1270,2,0,0,3,2000,0,1411 N 48th St,Seattle,WA 98103,USA
05-05-2022,831000,8,3,2170,2,0,0,4,1982,2011,120 31st Ave E,Seattle,WA 98112,USA
05-05-2022,780000,8,2.5,2730,2,0,2,3,1996,0,23140 NE 14th Ct,Sammamish,WA 98074,USA
05-05-2022,755000,8,2.5,2120,1,0,0,4,1960,2001,12645 SE 27th St,Bellevue,WA 98005,USA
05-05-2022,705380,5,2.5,2490,2,0,0,3,2003,0,3187 NE Larkspur Ln,Issaquah,WA 98029,USA
05-05-2022,627000,8,2.25,1990,1,0,0,3,1973,2013,18915 SE 42nd Pl,Issaquah,WA 98027,USA
05-05-2022,865000,8,3,3690,2,0,0,3,1998,2006,1765 267th Ct SE,Sammamish,WA 98075,USA
05-05-2022,580000,2,1,2540,1,0,0,5,1942,0,8624 Island Dr S,Seattle,WA 98118,USA
05-05-2022,410000,5,2.25,1800,1,0,0,4,1978,2000,24502 SE Mirrormont Dr,Issaquah,WA 98027,USA
05-05-2022,485000,8,3,2340,1,0,0,4,1979,0,14319 85th Pl NE,Kirkland,WA 98034,USA
05-05-2022,400000,2,1.75,2110,1,0,0,2,1948,0,2120 NE 168th St,Shoreline,WA 98155,USA
05-05-2022,549000,2,1,1140,1,0,0,5,1908,0,209 30th Ave E,Seattle,WA 98112,USA
05-05-2022,620000,5,1.75,1480,2.5,0,0,3,2005,0,10512 128th Ave NE,Kirkland,WA 98033,USA
05-05-2022,405000,2,3,1410,2,0,0,3,2006,0,9126 45th Ave SW,Seattle,WA 98136,USA
05-05-2022,232000,2,1,1200,1,0,0,4,1958,1972,20220 8th Ave S,Des Moines,WA 98198,USA
05-05-2022,800866,5,2.5,3180,2,0,0,4,1990,0,11821 NE 48th Pl,Kirkland,WA 98033,USA
05-05-2022,650000,5,1.5,2160,1,0,2,4,1949,1985,13026 10th Ave NW,Seattle,WA 98177,USA
05-05-2022,823000,6,1.75,2920,2.5,0,0,4,1908,0,125 29th Ave,Seattle,WA 98122,USA
05-05-2022,770000,5,2,2350,1.5,0,0,4,1939,1989,2171 Boyer Ave E,Seattle,WA 98112,USA
05-05-2022,524000,5,1.75,1560,1,0,0,4,1944,0,3434 33rd Ave W,Seattle,WA 98199,USA
05-05-2022,541125,5,2.75,2740,1,0,0,4,1960,2001,5211 116th Pl SE,Bellevue,WA 98006,USA
